Title,Subtitle,Author,Publication,SourceType,Publisher,Volume,Issue,PubDate,AlphaDate,StartPage,EndPage,PageRange,ISSN,EISSN,ISBN,Language,Abstract,DocumentUrl
Findings Portend Benefits in Restoration and Aquaculture,,,Targeted News Service,Wire Feeds,,,,11/18/2017,18-Nov-17,n/a,,,,,,ENG,,https://www.proquest.com/docview/1965609777?accountid=12492&bdid=39766&_bd=8o5WlFBcxuLXrsAeBoQarvwCri8%3D
Channel Islands National Marine Sanctuary Advisory Council Issues Public Comment on NOAA Notice,,,Targeted News Service,Wire Feeds,,,,2/11/2022,11-Feb-22,,,,,,,ENG,,https://www.proquest.com/docview/2627782996?accountid=12492&bdid=39766&_bd=3%2BAagHyw%2B2U4xjVpB5iMmFAXND0%3D
How scientists are using virtual reality to show people effects of global warming,,"Williams, Lauren",TCA News Service,Wire Feeds,,,,3/1/2017,1-Mar-17,n/a,,,,,,ENG,"Scientists generally agree that the increasingly likely effects of global warming -- everything from rising seas and extreme storms and droughts to the spread of diseases and starvation -- are, in fact, bigger hurdles.MIND GAMES In November, 2016, the USC Sea Grant, in partnership with the U.S. Geological Survey, set up a virtual reality headset on the Santa Monica Pier.Dubbed the Owl, the lenses of the mounted binoculars showed four projections including what the beach looked like in the 1920s, what it could look like in a big storm under current conditions and then, with sea level rise, what a major storm could do to the beach in the future.The lab also teaches people about ocean acidification -- the killing of ocean life because of greenhouse gases absorbed into the ocean -- by transporting people via virtual ""field trips"" to underwater ecosystems being destroyed.SOUTHERN CALIFORNIA'S FUTURE With the kinds of immersive research done by oceanographer Juliette Finzi Hart people don't need to leave their home or buy expensive equipment to experience climate change.",https://www.proquest.com/docview/1872746922?accountid=12492&bdid=39766&_bd=1SIZgYK5ziIvlMCn6PIEMtZlyjc%3D
University of California-Davis: Climate Change Could Shrink Oyster Habitat in California,,,Targeted News Service,Wire Feeds,,,,8/5/2019,5-Aug-19,n/a,,,,,,ENG,,https://www.proquest.com/docview/2268694753?accountid=12492&bdid=39766&_bd=hoq4x9p89uu5OyWlmRsJUGDpLao%3D
New Alaska Sea Grant-Funded Graduate Students Dive Into Research,,,Targeted News Service,Wire Feeds,,,,10/11/2018,11-Oct-18,n/a,,,,,,ENG,,https://www.proquest.com/docview/2118330868?accountid=12492&bdid=39766&_bd=9WBJTThfeLDAGCWK6yDnixV5WzE%3D
"Reps. Herrera Beutler, Kilmer, Bonamici, Young Introduce Bipartisan Bill to Fight Ocean Acidification",,,Targeted News Service,Wire Feeds,,,,3/28/2019,28-Mar-19,n/a,,,,,,ENG,,https://www.proquest.com/docview/2199220641?accountid=12492&bdid=39766&_bd=%2FB39bndVqu0mPNJ7fhqyAFdKdzo%3D
Sen. King tells researchers that data is the key to protecting lobster industry,,"Overton, Penelope",TCA Regional News,Wire Feeds,,,,6/6/2017,6-Jun-17,n/a,,,,,,ENG,,https://www.proquest.com/docview/1906044236?accountid=12492&bdid=39766&_bd=eYkUqf5mEySTiHZFbTevq4yX%2BXo%3D
"Philippe Cousteau, Jr. To Lead EarthEcho Expedition in America's Pacific Northwest to Help Solve Ocean Acidification",,,Business Wire,Wire Feeds,,,,11/11/2015,11-Nov-15,n/a,,,,,,ENG,"EarthEcho field explorations and virtual events provide the foundation for dynamic educational tools and resources, including: documentary style video investigations of pressing environmental issues with vignettes of compelling youth in action, day-in-the-life video explorations into STEM careers, plus lesson plans, classroom activities and comprehensive guides for teachers to align youth environmental action with required curriculum standards.",https://www.proquest.com/docview/1732361224?accountid=12492&bdid=39766&_bd=gfonr37S8gNp4j9fBJgBC2H4NKM%3D
"Philippe Cousteau, Jr.'s EarthEcho International Profiles Youth Leaders in Action with EarthEcho Expedition: Shell Shocked","Documentary Videos, Outreach Materials and Project Based Learning Resources Provided Online, Free-of-Charge",,PR Newswire,Wire Feeds,,,,3/17/2016,17-Mar-16,n/a,,,,,,ENG,"Chief Kitsap Academy; Eagle Harbor High School, Bainbridge Island, WA; Makah Environmental Division; National Oceanic and Atmospheric Administration's Ocean Acidification Program, Pacific Marine Environmental Laboratory, and Northwest Fisheries Science Center; Neah Bay Middle/High School; Ocean Conservancy; Olympic Coast National Marine Sanctuary; Plant for the Planet; Puget Sound Restoration Fund; Seattle Aquarium; Washington Sea Grant; Wendy Schmidt Ocean Health XPRIZE; and Windsong Charters, Neah Bay, WA.",https://www.proquest.com/docview/1774002414?accountid=12492&bdid=39766&_bd=YZSQjpLBA2BWN7t0qV9%2FiXf3ZBI%3D
University of Hawaii: Hawaiian Corals Show Surprising Resilience to Warming Oceans,,,Targeted News Service,Wire Feeds,,,,3/11/2022,11-Mar-22,,,,,,,ENG,,https://www.proquest.com/docview/2638263389?accountid=12492&bdid=39766&_bd=hsnOipr%2B1RkkJ5rsGIA2YvkKpHo%3D
King seeks data on lobsters at Portland conference,,"Overton, Penelope",Morning Sentinel,Newspapers,,,,6/6/2017,6-Jun-17,2.B,,,,,,ENG,,https://www.proquest.com/docview/1906038354?accountid=12492&bdid=39766&_bd=FBbQgkyuehRSuBHZwYAMSEAtNcI%3D
Earth Day Awards honor local efforts,,"Dunagan, Christopher",McClatchy - Tribune Business News,Wire Feeds,,,,4/22/2013,22-Apr-13,n/a,,,,,,ENG,"The Earth Day Awards are presented annually in a variety of categories to recognize ""outstanding achievers"" in recycling, environmental education, waste reduction and hazardous waste management, according to Toni Fuller of Kitsap County Public Works.  Barb Bromley: A fourth-grade teacher at Clear Creek Elementary, Bromley leads her students in many Earth Day projects, from serving as Washington Sea Grant's ""invasive species investigators"" to studying the effects of ocean acidification on shellfish.",https://www.proquest.com/docview/1334937092?accountid=12492&bdid=39766&_bd=EJBJIQW7o6%2BC5udDZkxvHPDZGEE%3D
Chair Huffman Introduces Bipartisan Bill to Reauthorize National Sea Grant College Program,,,Targeted News Service,Wire Feeds,,,,4/30/2019,30-Apr-19,n/a,,,,,,ENG,,https://www.proquest.com/docview/2218332790?accountid=12492&bdid=39766&_bd=IN4JvZxyEA7AAQETOUd2nQen14k%3D
"At last week's United Nations Climate Change Conference in Germany,... [Derived headline]",,"Woodard, Colin",Morning Sentinel,Newspapers,,,,11/19/2017,19-Nov-17,1.A,,,,,,ENG,,https://www.proquest.com/docview/1965751208?accountid=12492&bdid=39766&_bd=0mqMR%2FM7TndjqiIqLQzp0%2BGlDP4%3D
House Natural Resources Subcommittee Issues Testimony From Alaska Ocean Observing System,,,Targeted News Service,Wire Feeds,,,,5/8/2019,8-May-19,n/a,,,,,,ENG,,https://www.proquest.com/docview/2222250103?accountid=12492&bdid=39766&_bd=7BRZmDpYd%2FrLWhLBZK69wm4rsnA%3D
"Murkowski's Appropriations Work Strengthens Alaska's Communities, Fisheries",,,Targeted News Service,Wire Feeds,,,,8/1/2017,1-Aug-17,n/a,,,,,,ENG,,https://www.proquest.com/docview/1925206493?accountid=12492&bdid=39766&_bd=D5vd6JBwFLu7vefJ9UK8ZRM6%2BNw%3D
Warming waters,Oregon fishing families face impacts of climate change,"Loew, Tracy",Statesman Journal,Newspapers,,,,6/6/2021,6-Jun-21,A.1,,,7395507,,,ENG,,https://www.proquest.com/docview/2537206504?accountid=12492&bdid=39766&_bd=wy6Jd%2FNGkXUrOfNcaj5Bt2N8jyc%3D
"Join lobstermen, others concerned with environment at climate march",Trump's proposed budget cuts would slash research programs and even weather service funds.,,Portland Press Herald,Newspapers,,,,4/22/2017,22-Apr-17,A.1,,,26895900,,,ENG,"To add insult to injury, the Trump administration's proposed budget would cut the the National Oceanic and Atmospheric Administration's budget by 17 percent, and in doing so, cuts some of the very science and programs dealing with climate and acidification that are needed. Maine Sea Grant has supported many lobster research projects over the years, including funding to monitor newly settled lobsters, a program to predict future landing and resources to measure the impacts of...",https://www.proquest.com/docview/1901385752?accountid=12492&bdid=39766&_bd=FL5dHwdGJY91HQQlDX4JulzQvU0%3D
Salmon May Lose the Ability to Smell Danger as Carbon Emissions Rise,,,Targeted News Service,Wire Feeds,,,,12/18/2018,18-Dec-18,n/a,,,,,,ENG,,https://www.proquest.com/docview/2158199839?accountid=12492&bdid=39766&_bd=rok3XGSDmsAWr81H9l26W%2BpFaFM%3D
House Select Committee on Climate Crisis Issues Testimony From University Florida Professor,,,Targeted News Service,Wire Feeds,,,,4/15/2022,15-Apr-22,,,,,,,ENG,,https://www.proquest.com/docview/2650285370?accountid=12492&bdid=39766&_bd=tmGz7jWUBwKMMdOXplUzsh4U%2B88%3D
'Need a crystal ball to see what the future holds',Oregon fishing families face climate change impacts,"Loew, Tracy",The Register - Guard,Newspapers,,,,6/6/2021,6-Jun-21,A.1,,,7398557,,,ENG,,https://www.proquest.com/docview/2537203634?accountid=12492&bdid=39766&_bd=R4Qq3%2Ber3Rm81oi%2F7mzO6OWZ2s8%3D
"WASHINGTON OYSTERS STRUGGLE AS WATER pH SHIFTS Legislature funds Department of Natural Resources plan to restore kelp, eelgrass in hopes to help shellfish farms",,"Demkovich, Laurel",Spokesman Review,Newspapers,,,,4/11/2022,11-Apr-22,A.1,,,10647317,,,ENG,,https://www.proquest.com/docview/2649285719?accountid=12492&bdid=39766&_bd=c6YW%2FmoWiVirgc6b3X7S%2Fcz9Y7I%3D
2018 Presidential Award Winners Named,,,Targeted News Service,Wire Feeds,,,,3/30/2018,30-Mar-18,n/a,,,,,,ENG,,https://www.proquest.com/docview/2020043445?accountid=12492&bdid=39766&_bd=GSsDsE%2FpsVmfyYu5KgYfeGoMHC0%3D
Cal Poly Research Finds Abalone May Be Resilient During Ocean Acidification,,,Targeted News Service,Wire Feeds,,,,8/3/2017,3-Aug-17,n/a,,,,,,ENG,,https://www.proquest.com/docview/1925820550?accountid=12492&bdid=39766&_bd=w1avsO0yGA0LlmeTEa4pqysit0g%3D
Lobsters in a Virginia lab can tell us about the threats of climate change,,"Hafner, Katherine",Maryland Gazette,Newspapers,,,,1/6/2021,6-Jan-21,A.6,,,,,,ENG,,https://www.proquest.com/docview/2475266011?accountid=12492&bdid=39766&_bd=8zljO5KHOuOAs3Wjh5K9cp%2FOlAI%3D
NOAA Sea Grant Awards $15.9 Million For Projects To Build Resilient Coastal Communities,,,Targeted News Service,Wire Feeds,,,,10/8/2014,8-Oct-14,n/a,,,,,,ENG,,https://www.proquest.com/docview/1609515185?accountid=12492&bdid=39766&_bd=1bTsaRmwSHS7QPVYp3n6CU8%2FdZs%3D
Halibut prices through the roof as quota cuts reduce supply,,"Welch, Laine",Alaska Journal of Commerce,Trade Journals,,35,41,10/9/2011,9-Oct-11,7,,7,15374963,,,ENG,"The fishery has remained closed due to what appeared to be declining crab stocks, although crabbers have argued to the contrary.  Since 2009, crabbers have partnered with state shellfish biologists to double check the annual surveys by catching, tagging, and re-catching king crabs.",https://www.proquest.com/docview/902681428?accountid=12492&bdid=39766&_bd=M4VyZnjw1Kc2k8jEzD%2FWSU9EkUY%3D
Ocean's acidity causes concern for shellfish,,"Bates, Todd B",Asbury Park Press,Newspapers,,,,3/7/2015,7-Mar-15,6,,,,,,ENG,"Â Increase funding for targeted research and monitoring programs that help protect the shellfish industry, such as the National Oceanic and Atmospheric Administration's Sea Grant program and the Federal Ocean Acidification Research and Monitoring program.",https://www.proquest.com/docview/1661099933?accountid=12492&bdid=39766&_bd=lgHu2QwY9jjk5YMVhSNEQuCAW2E%3D
"Despite high prices, halibut stays in demand",,LAINE WELCH FISHERIES,Anchorage Daily News,Newspapers,,,,10/2/2011,2-Oct-11,A.7,,,1946870,,,ENG,"Â ""Alaska halibut is pretty well known now and people really want it,"" said Tuck Bonney, assistant manager at Alaska Pacific Seafoods in Kodiak. ""There's been some pushback by buyers, but most are scrambling to get all they can. We'll just have to see how high the price can go before they stop buying.""""If it wasn't for them believing the fishermen when they said there was more crab out there than the original survey was reporting, we wouldn't be here right now,"" she told KFSK radio. ""The department has moved very quickly and they have been with us every step of the way. It's been a really great experience to be able to work alongside them on this.""""It has been great that there is more awareness of the crab fisheries and they have been portrayed in such a positive light. But it is incumbent on us as an industry to tell the story of a more modernized fishery,"" he said. ""This is not the old days of the king crab cowboys -- we have much more rational businessmen and women trying to figure out how to prosecute the fishery in the most efficient and safest way possible.",https://www.proquest.com/docview/895982798?accountid=12492&bdid=39766&_bd=nmnetKX9%2Fl6Fr7aGhSSi%2Fk%2F33lY%3D
Climate change affects fish and reefs,,"O'Connor, Kim",Pacific Daily News,Newspapers,,,,7/13/2011,13-Jul-11,n/a,,,1962485,,,ENG,"Â According to the National Center for Atmospheric Research, reefs provide $375 billion each year to industries including fishing and aquaculture, tourism and aquariums.",https://www.proquest.com/docview/876056134?accountid=12492&bdid=39766&_bd=duHKLz35rGzZv6DvOfujuQPYSVw%3D
$2 million awarded to funding lobster research in Maine,,"Ashe, Megan",University Wire,Wire Feeds,,,,9/21/2020,21-Sep-20,,,,,,,ENG,,https://www.proquest.com/docview/2444289346?accountid=12492&bdid=39766&_bd=U8S%2Fsga4gGJdw6b4lpCATU8qHdw%3D
"Sen. Murphy Secures Robust Funding to Support Long Island Sound Aquaculture Research, Connecticut Shellfish Industry & NOAA's Milford Lab",,,Targeted News Service,Wire Feeds,,,,4/21/2016,21-Apr-16,n/a,,,,,,ENG,,https://www.proquest.com/docview/1783211593?accountid=12492&bdid=39766&_bd=YLQpLkIuaT0SRJ22FK399b6Kev4%3D
"Written Statement Of Kathryn Sullivan, Ph.D. Acting Under Secretary Of Commerce For Oceans And Atmosphere And Acting NOAA Administrator Before The Subcommittee On Fisheries, Wildlife, Oceans, And Insular Affairs Committee On Natural Resources",,,Targeted News Service,Wire Feeds,,,,4/18/2013,18-Apr-13,n/a,,,,,,ENG,,https://www.proquest.com/docview/1370402252?accountid=12492&bdid=39766&_bd=mrDul%2FVolqIOELXLCZ90ShSFczk%3D
"Hey drivers, follow laws, keep us all safe",,,Portland Press Herald,Newspapers,,,,7/7/2017,7-Jul-17,A.1,,,26895900,,,ENG,"Pete Swasey South Portland Planned Parenthood offers numerous essential services I'm writing because of repeated attempts to defund Planned Parenthood, and to share my story about why this health care organization is so important to Mainers. Amelia Gillett Westbrook Republicans just don't want to pay for poor's health care Regarding Ronald G. Thurston's lament in a letter to the editor, ""Blame Democrats, Sen. King for 'health care disaster' "" (June 28): The headline should have, instead, read, ""Once again, thank the liberals"" for insisting on progress by preserving the flawed but humane Affordable Care Act. Art DiMauro Scarborough Don't cut research programs that protect coastal waters Last Thursday night, I attended a roundtable at the University of Southern Maine on the disastrous impact of federal budget cuts on Maine fisheries. Staff people from our senators' offices were there and relayed detailed information concerning the harm that the drastic cuts to...",https://www.proquest.com/docview/1916614969?accountid=12492&bdid=39766&_bd=hW7UfU9p1B5yS67sKYpeS4chPkw%3D
University of Maine Research Institutions Receive More Than $660k to Study the American Lobster,,,Targeted News Service,Wire Feeds,,,,10/29/2021,29-Oct-21,,,,,,,ENG,,https://www.proquest.com/docview/2587660286?accountid=12492&bdid=39766&_bd=PzLEKnN%2B984Nn0Jc9TLGRSkGoCs%3D
Fish & Wildlife Service Review Marine Mammal Stock Assessment Report for Southern Sea Otter,,,Targeted News Service,Wire Feeds,,,,1/28/2020,28-Jan-20,,,,,,,ENG,,https://www.proquest.com/docview/2346539558?accountid=12492&bdid=39766&_bd=gbuoIGbkJt0jN0lK1%2F8pdIT6YU8%3D
Alaskan seafood has opening in home meal replacement kits,,"Welch, Laine",Alaska Journal of Commerce,Trade Journals,,41,34,8/20/2017,20-Aug-17,6,,7-Jun,15374963,,,ENG,"The kits typically cost $60 to $70 per week for three twoperson meals.Since the launch in 2012, it has grown into a $2.2 billion business, according to the Chicago-based consulting firm Pentallect, which predicts annual growth at 25 percent to 30 percent over the next five years.Whereas HMRs offered selections of ready to eat items like pot pies, salads or pasta dishes, meal kits provide a different experience.The Senate appropriations bill also provides $75 million to begin building a new NOAA survey vessel, $11 million for addressing ocean acidification, and an extra $3 million to expedite electronic monitoring programs.",https://www.proquest.com/docview/1933847717?accountid=12492&bdid=39766&_bd=XBOxKkv1Pto3xUZds2Q74eG1KmM%3D
Walker orders mariculture task force,,"Summers, D J",TCA Regional News,Wire Feeds,,,,2/29/2016,29-Feb-16,n/a,,,,,,ENG,"""Mariculture represents a tremendous opportunity to diversify our economy, strengthen our coastal communities, and provide healthy food to the world by using sustainable practices that are a foundation of our current fishery resources,"" said Walker in a release.",https://www.proquest.com/docview/1769999116?accountid=12492&bdid=39766&_bd=4ZcDIP0ZwcwrXt%2B86RJggjIVlTU%3D
Ocean Conservancy Issues Statement on $700 Million Cut to NOAA Budget Proposed by House,,,Targeted News Service,Wire Feeds,,,,7/12/2017,12-Jul-17,n/a,,,,,,ENG,,https://www.proquest.com/docview/1918802423?accountid=12492&bdid=39766&_bd=tBf%2Fay9%2B%2BrIU3Ua%2B%2FFIwW1S%2FKMM%3D
An ocean of research Hatfield Marine Science Center celebrates 50 years in Newport,,"Terry, Richard",The Oregonian,Newspapers,,,,7/26/2015,26-Jul-15,8,,,8750-1317,,,ENG,"Â Located on land with a 99-year lease from the Port of Newport, the OSU complex has grown to include offices for Oregon and U.S. fish and wildlife agencies, the Environmental Protection Agency, NOAA, U.S. Geological Society and U.S. Department of Agriculture.",https://www.proquest.com/docview/1698905148?accountid=12492&bdid=39766&_bd=gOWsXhn9qfNTI5fdD9zRk7lYRNA%3D
House Natural Resources Subcommittee Issues Testimony From NOAA Administrator Spinrad,,,Targeted News Service,Wire Feeds,,,,7/21/2021,21-Jul-21,,,,,,,ENG,,https://www.proquest.com/docview/2567927491?accountid=12492&bdid=39766&_bd=PSmqvW6HvPP3I8a1Hb31U5eOYqM%3D
REP. JOHN CULBERSON,,,Financial Market Regulatory Wire,Other Sources,,,,3/20/2018,20-Mar-18,n/a,,,,,,ENG,,https://www.proquest.com/docview/2019089851?accountid=12492&bdid=39766&_bd=ns2OBnvTWzU8yJcpSXReOyfBo3s%3D
New oceanography major now open to undergraduates,,,University Wire,Wire Feeds,,,,1/18/2018,18-Jan-18,n/a,,,,,,ENG,,https://www.proquest.com/docview/1988757378?accountid=12492&bdid=39766&_bd=%2FjdZXIBIEFhH%2FU9tlggIeHp1LVc%3D
New Federal Money For Hawai'i Ocean Management,,,Targeted News Service,Wire Feeds,,,,6/14/2018,14-Jun-18,n/a,,,,,,ENG,,https://www.proquest.com/docview/2055623321?accountid=12492&bdid=39766&_bd=eKvckyKXnmAIn29gOh2J6XVOYl8%3D
Bristol Bay Students Learn Lessons in State Politics in Juneau,,,Targeted News Service,Wire Feeds,,,,1/15/2019,15-Jan-19,n/a,,,,,,ENG,,https://www.proquest.com/docview/2167696765?accountid=12492&bdid=39766&_bd=I2dosp806agiZpqL9YOYKXrijMQ%3D
URI to Host Lecture Series on 'State of Our Oceans' Beginning Feb. 8,,,Targeted News Service,Wire Feeds,,,,1/28/2011,28-Jan-11,n/a,,,,,,ENG,,https://www.proquest.com/docview/847978926?accountid=12492&bdid=39766&_bd=RhEeavxp8ZaM1BddzDdu6W8Gewg%3D
REP. RALPH M. HALL HOLDS A HEARING ON THE NOAA AND EPA BUDGETS,,,Political Transcript Wire,Wire Feeds,,,,3/11/2011,11-Mar-11,n/a,,,,,,ENG,,https://www.proquest.com/docview/856674704?accountid=12492&bdid=39766&_bd=Y27fwy2RL9sQWqfY%2BZF%2BrPsxrmQ%3D
Annual best and worst of the past year in state fisheries,,"Welch, Laine",Alaska Journal of Commerce,Trade Journals,,40,2,1/10/2016,10-Jan-16,6,,"6,16",15374963,,,ENG,"The Department of Natural Resources' stall on a salmon vs. coalmine water rights decision at the Chuitna watershed in Upper Cook Inlet.  The Genuine Alaska Pollock Producers, or GAPP, for fighting tirelessly to get tasty, ""kid approved"" fish meals into school lunch programs, and for getting the pollock name corrected on federal food lists to guarantee the fish is top quality.  Julie Speegle, Communications Director, National Oceanic and Atmospheric Administration Fisheries/Juneau Saddest fish story:",https://www.proquest.com/docview/1771694029?accountid=12492&bdid=39766&_bd=2PAl1AtoxAjMkwus01wIqfHtWd4%3D
Cooperative Agreements Make $2 Million Available for American Lobster Research,,,Targeted News Service,Wire Feeds,,,,2/23/2021,23-Feb-21,,,,,,,ENG,,https://www.proquest.com/docview/2492251220?accountid=12492&bdid=39766&_bd=PebDkRsKHuxdlnLClZmyQ3NxY60%3D
The world in your hands,,"Jackson, Sarah",The Herald,Newspapers,,,,10/25/2011,25-Oct-11,n/a,,,,,,ENG,"""It's like a mosaic of water and land,"" [Penny Dalton], 60, said. ""And that's really the way the system works: They're all interconnected with each other.""What: ""Sound Living: Exploring the Connections Between Water, Land and People"" is a community-focused day of learning, a ""communiversity,"" presented by the Washington State University Snohomish County Extension Beach Watchers, the Snohomish County Marine Resources Committee, the Puget Sound Partnership and Everett Community College.Mark Mulligan / The Herald Find out if your home is a good fit for raising backyard chickens at ""Sound Living: Exploring the Connections Between Water, Land and People.""  Lincoln Loehr A gull soars before dropping the clam in its mouth to the rocks below, where it will crack open and become a quick snack. Learn all about shorebirds and other sea life at ""Sound Living: Exploring the Connections Between Water, Land and People.""  Walter Siegmund A western red cedar tree branch bears tiny cones in the Mount Baker-Snoqualmie National Forest. Local residents can learn all about the area's flora, fauna and waters at ""Sound Living: Exploring the Connections Between Water, Land and People.""  Justin Best / The Herald Starfish are just the beginning of life in the Salish Sea, also known as Puget Sound. Learn about sea life and local history at ""Sound Living: Exploring the Connections Between Water, Land and People.""",https://www.proquest.com/docview/900458244?accountid=12492&bdid=39766&_bd=FfHkcn8KahGV161AzYeMuN51cwE%3D
Foreign fishermen to 'talk shop' at forum,,"Trotter, Bill",McClatchy - Tribune Business News,Wire Feeds,,,,3/2/2010,2-Mar-10,n/a,,,,,,ENG,"According to a description of the seminar, it will be an informal session during which attendees can compare and contrast boats and gear, regulations and management, what roles the lobster industry plays in their regional or national economies and how they have been affected by the global economy.",https://www.proquest.com/docview/458600165?accountid=12492&bdid=39766&_bd=xhU8mlEXQvTeLcBLux4CsMDQIPY%3D
Trump's budget cuts may cripple programs,,"Woodard, Colin",Morning Sentinel,Newspapers,,,,5/25/2017,25-May-17,1.A,,,,,,ENG,,https://www.proquest.com/docview/1902029514?accountid=12492&bdid=39766&_bd=88BbRBmwxwjx8hVe9ANIbkIUESI%3D
Summer Interns Focus on Seafood Science in Kodiak,,,Targeted News Service,Wire Feeds,,,,7/10/2017,10-Jul-17,n/a,,,,,,ENG,,https://www.proquest.com/docview/1917915481?accountid=12492&bdid=39766&_bd=eqapjH6nj6zEbpe88hBRuxMVr88%3D
"Reps. Pingree, Wittman Reintroduce Bipartisan Bill to Preserve Working Waterfronts",,,Targeted News Service,Wire Feeds,,,,5/14/2021,14-May-21,,,,,,,ENG,,https://www.proquest.com/docview/2526735966?accountid=12492&bdid=39766&_bd=Q5RJCNQgCnXcftwYePOP5ym011E%3D
Alaska Mariculture Task Force Issues Final Report Report to Gov. Dunleavy,,,Targeted News Service,Wire Feeds,,,,8/3/2021,3-Aug-21,,,,,,,ENG,,https://www.proquest.com/docview/2557402956?accountid=12492&bdid=39766&_bd=xh%2B6DhjUtmZG%2BarJvL7PurfnoyY%3D
"Reps. Wittman, Pingree Reintroduce Bipartisan Bill to Preserve Working Waterfronts",,,Targeted News Service,Wire Feeds,,,,5/13/2021,13-May-21,,,,,,,ENG,,https://www.proquest.com/docview/2526166483?accountid=12492&bdid=39766&_bd=BEe9Y7z1nbObfLSlOHrX6bSj7lo%3D
"Cooperative Agreement Makes $36.8 Million Available for Cooperative Institute to Support NOAA Marine Research, Ecosystem Management",,,Targeted News Service,Wire Feeds,,,,12/12/2020,12-Dec-20,,,,,,,ENG,,https://www.proquest.com/docview/2469497422?accountid=12492&bdid=39766&_bd=o8ncpDf%2FpHiJxvQ8l5%2F%2Bm7%2B7IUE%3D
"King, Pingree Announce More Than $5 Million to Protect Maine Coastal Communities",,,Targeted News Service,Wire Feeds,,,,4/22/2023,22-Apr-23,,,,,,,ENG,,https://www.proquest.com/docview/2804281998?accountid=12492&bdid=39766&_bd=hCK2WPdDnUJ6EZ%2BnmEu%2Fpyz5B0M%3D
Issuance of an Incidental Harassment Authorization Notice Posted in Federal Register,,,Targeted News Service,Wire Feeds,,,,12/30/2013,30-Dec-13,n/a,,,,,,ENG,,https://www.proquest.com/docview/1471341667?accountid=12492&bdid=39766&_bd=Ofv3Cy6S840OYP%2BDNbJGEk6OsA4%3D
Murkowski Supports a Safer and More Prosperous Alaska,,,Targeted News Service,Wire Feeds,,,,6/15/2018,15-Jun-18,n/a,,,,,,ENG,,https://www.proquest.com/docview/2055947226?accountid=12492&bdid=39766&_bd=%2BQUruFU%2BbICl1103DV7kvQ%2FNuXI%3D
"House Appropriations Issues Report on Commerce, Justice, Science Appropriations Bill - Title I - Office of Oceanic & Atmospheric Research (Part 4 of 12)",,,Targeted News Service,Wire Feeds,,,,7/31/2020,31-Jul-20,,,,,,,ENG,,https://www.proquest.com/docview/2428999188?accountid=12492&bdid=39766&_bd=XgY8zEJwBryXVav3Ok2fcavSdkk%3D
NOAA Fisheries Alaska Issues Report Entitled 'Aquaculture Accomplishments',,,Targeted News Service,Wire Feeds,,,,11/14/2022,14-Nov-22,,,,,,,ENG,,https://www.proquest.com/docview/2735736462?accountid=12492&bdid=39766&_bd=Xg8dEy48nnHJzhZTKTJ4nIXM4Ko%3D
House Natural Resources Committee Issues Report on Keep America's Waterfronts Working Act,,,Targeted News Service,Wire Feeds,,,,12/29/2019,29-Dec-19,,,,,,,ENG,,https://www.proquest.com/docview/2331089859?accountid=12492&bdid=39766&_bd=cQcglPwzbj9ngryMHFY7rIjtO7Y%3D
"As Earth Day Approaches, Celebrate Texas A&M's Commitment to Sustainability",,,Targeted News Service,Wire Feeds,,,,4/20/2017,20-Apr-17,n/a,,,,,,ENG,,https://www.proquest.com/docview/1893082614?accountid=12492&bdid=39766&_bd=8sMh5zH06%2BxsMwJSiS05j%2FJI0KE%3D
House Space Subcommittee Issues Testimony From Mote Marine Laboratory President Crosby,,,Targeted News Service,Wire Feeds,,,,6/28/2021,28-Jun-21,,,,,,,ENG,,https://www.proquest.com/docview/2546589665?accountid=12492&bdid=39766&_bd=yQVBDVNu6mNCBP5zIE9q922Z8aY%3D
REP. JOHN CULBERSON,,,Political Transcript Wire,Wire Feeds,,,,3/21/2018,21-Mar-18,n/a,,,,,,ENG,,https://www.proquest.com/docview/2015883672?accountid=12492&bdid=39766&_bd=yj76aNq9E3dJTT21jLfczbofjOY%3D
"Island Institute Awarded $240,000 Grant from the National Academies to Support Disaster Preparedness in Maine's Island and Coastal Communities",,,Targeted News Service,Wire Feeds,,,,5/15/2017,15-May-17,n/a,,,,,,ENG,,https://www.proquest.com/docview/1899008355?accountid=12492&bdid=39766&_bd=zMHIsyCdHzbp%2BHjYwCkJDGkvYvI%3D
"King, Pingree Announce More Than $5 Million to Protect Maine Coastal Communities",,,Targeted News Service,Wire Feeds,,,,4/22/2023,22-Apr-23,,,,,,,ENG,,https://www.proquest.com/docview/2804253616?accountid=12492&bdid=39766&_bd=2cg9a2JRBC%2BoyiFnlhLOQzBr%2BhU%3D
Maine environmental advocates warn of 'crippling' cuts in Trump budget,,"Woodard, Colin",TCA Regional News,Wire Feeds,,,,5/24/2017,24-May-17,n/a,,,,,,ENG,,https://www.proquest.com/docview/1901861449?accountid=12492&bdid=39766&_bd=sHY7Vvs%2FyVbAqxu9R9OzLGAItNI%3D
NOAA: Ensuring A Future For Seafood In A Changing Ocean - Part 2,,,Targeted News Service,Wire Feeds,,,,10/6/2022,6-Oct-22,,,,,,,ENG,,https://www.proquest.com/docview/2721569116?accountid=12492&bdid=39766&_bd=b2SEyXBwzXkX%2FPLOReepexe3C68%3D
