"""sea grant"" AND ""acidification""",ocean acidification sea grant
Del. Bordallo Addresses U.S. Coral Reef Task Force,Fish & Wildlife Service Review Marine Mammal Stock Assessment Report for Southern Sea Otter
Isles warned of grim future for tourism,Norway: The Minister of Foreign Affairs' Opening of the Our Ocean Conference 2019
Anchorage mayor vows to reduce greenhouse gas emissions after Trump’s Paris pullout,Western Washington University: Shannon Point Receives National Science Foundation Grant to Study Oceanic Water Quality
"ProfNet Experts Available on Paris Agreement, Hurricane Preparedness, More","Sen. Cantwell: NOAA Announces $3.31 Billion Investment in Coastal Resilience, Salmon Recovery, and Infrastructure - Largest in Agency's History"
Under Secretary of Commerce for Oceans and Atmosphere and NOAA Administrator Jane Lubchenco Testifies on National Oceanic and Atmospheric Administration's Fy 2012 Budget Request,IOOS Awards $31M for Ocean Observing
Under Secretary of Commerce for Oceans and Atmosphere and NOAA Administrator Jane Lubchenco Testifies on the National Oceanic and Atmospheric Administration's FY 2012 Budget Request,"Lautenberg, Menendez Applaud the Awarding of Two Federal Research Grants to Princeton University"
Honolulu Sues Petroleum Companies For Climate Change Damages to City,Under Secretary of Commerce for Oceans and Atmosphere and NOAA Administrator Jane Lubchenco Testifies on the National Oceanic and Atmospheric Administration's FY 2012 Budget Request
OPINION: Welch takes a look back at the past year of fishy news,Earth Day Awards honor local efforts
Picks and pans for 2021 in Alaska's seafood industry,New Federal Money For Hawai'i Ocean Management
Kelp farm permits still more popular than shellfish,URI to Host Lecture Series on 'State of Our Oceans' Beginning Feb. 8
Isles warned of grim future for tourism,In troubled waters
Annual picks and pans from the year that was in Alaska fisheries,THREAT TO KEY RESOURCE DRAWS A TEPID RESPONSE
REP. JOHN FLEMING HOLDS A HEARING ON NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION BUDGET,Maine finally addressing climate change in the gulf
Picks and pans for 2021 in Alaska’s seafood industry,Tempted by a very 'unique' opportunity
"Alaska's 2007 fish retrospective: Same 'ole, same 'ole",Hawaii corals found to be more resilient than first thought
Fishing's 'year in review' for 2007 ; SPOTLIGHT: RESOURCES,Boulder coalition sees role in saving seas for those at a mile high
Scientists struggle to save seagrass from coastal pollution,"Reps. Pingree, Wittman Reintroduce Bipartisan Bill to Preserve Working Waterfronts"
Science and Resilience Institute at Jamaica Bay Awarded $3.6 Million to Support Research on Resilience in Urban Coastal Ecosystems,Studies testing kelp as local fix for acidifying seawater
House Natural Resources Subcommittee Issues Testimony From EPA Ex-Administrator Browner,"Reps. Wittman, Pingree Reintroduce Bipartisan Bill to Preserve Working Waterfronts"
EPA cuts could have major impact on Maine cleanup efforts,Seventy Percent of Climate Pact Signatories Include Oceans in Their Climate Change Action Plans
National Oceanic and Atmospheric Administration Administrator Testifies on the National Oceanic and Atmospheric Administration's FY 2012 Budget Request,Observatory lets UH analyze the ocean 3 miles under surface
Snapshot of Alaska seafood industry in '11,EDITORIAL: Ocean wind progress a welcome development
Rep. Courtney Issues Statement on Consolidated Appropriations Act,"Under the Atlantic, Aquarius Reef Base offers a window on the ocean and space"
Under Secretary of Commerce for Oceans and Atmosphere Testifies on the National Oceanic and Atmospheric Administration's FY 2012 Budget Request,"House Appropriations Committee Issues Report on Commerce, Justice, Science Appropriations Bill (Part 2 of 8)"
UF Institute of Food and Agricultural Sciences extensions work to mitigate climate change,Murkowski Supports a Safer and More Prosperous Alaska
Fisheries picks and pans for 2019,Under Secretary of Commerce for Oceans and Atmosphere Testifies on the National Oceanic and Atmospheric Administration's FY 2012 Budget Request
UF Institute of Food and Agricultural Sciences extensions work to mitigate climate change,"Commerce Issues Annual Report Entitled 'Technology Transfer: Approach and Plans, FY 2020 Activities and Achievements' (Part 3)"
Alaskans live on frontier of climate change,"Island Institute Awarded $240,000 Grant from the National Academies to Support Disaster Preparedness in Maine's Island and Coastal Communities"
"House Appropriations Committee Issues Report on Commerce, Justice, Science, Related Agencies Appropriations Bill, 2018 (Part 7 of 7)",Maine finally addressing climate change in the gulf
Deeper EPA cuts pose a particular menace to Maine,"House Science, Space & Technology Committee Issues Report on COAST Research Act"
Picks and pans for Alaska’s seafood industry in 2019,NOAA: Ensuring A Future For Seafood In A Changing Ocean - Part 2
EPA cuts seen as peril to Maine,U.S. university receives grant to begin new research vessel construction
Wasting syndrome wiping out North Kitsap sea stars,Whitehouse Introduces Legislation to Protect Oceans & Coastal Communities
"Reps. Bonamici, Posey Lead Bipartisan Call for $10B Investment in Coastal Restoration Jobs",Announcements by the United States at Our Ocean 2016
Annual Picks and Pans closes out 27th year of Fish Factor,"GAO Releases Reports on Climate Change, Oceans"
SEN. DANIEL K. AKAKA HOLDS A HEARING ON TRIBAL IMPACTS OF ENVIRONMENTAL CHANGES,"Duke University-Nicholas School of Environment: Dual Approach Needed to Save Sinking Cities, Bleaching Corals"
RISE EVIDENT IF YOU KNOW WHERE TO LOOK,United States: Leveraging Technology To Protect Our Ocean
Something is killing gray whales. Is it a sign of oceans in peril?,RESEARCH GRANT SYSTEM FACES PROGRESS REPORT
Fish picks and pans for 2020,IIT to set up research unit for observing Bay of Bengal
"Applications for aquatic farming in Alaska drop due to pandemic, and kelp is favored over shellfish",SHELLFISH FACE RISK Acidic water a new threat to oysters and clams in LI Sound
"Fishermen use technology to stay educated, updated",SEN. MARIA CANTWELL HOLDS A HEARING ON THE F.Y. 2008 BUDGET FOR THE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION
"ProfNet Experts Available on Paris Agreement, Hurricane Preparedness, More",House Infrastructure Subcommittee Issues Testimony From Office of the Governor of Virginia
,Marine Biological Laboratory: Can Growing Seaweed Protect Shellfish Farms As Climate Warms? The Roberson Lab Is Finding Out
,"State sets aside years of skepticism to confront Gulf of Maine warming ""Climate change was a dirty term politically in Maine, and people didn't think it was real or didn't want to react to it."""
,Researchers study ocean canyons in marine sanctuary
,Norway: The Minister of Foreign Affairs' Opening of the Our Ocean Conference 2019
,Marine Science Symposium Offers Teaching Ideas
,5 Rep. Kilmer Bills to Combat Climate Change Included in New Climate Crisis Recommendations
,"Written Statement of Kathryn Sullivan, Ph.D., Under Secretary of Commerce for Oceans and Atmosphere and NOAA Administrator at the NOAA FY 2015 Budget Hearing"
,Ocean Institute readies for remodel
,"Committee Approves FY2020 Commerce, Justice, Science Appropriations Bill"
,North by Northwest
,Lecture series focuses on ocean concerns
,Obama unveils moves aimed at protecting oceans
,Scientists investigate climate change impact on fisheries
,House Science Committee Issues Testimony From Woods Hole Oceanographic Institution
,"From Maine's warming waters, a new cash crop"
,Children’s Museum of the Brazos Valley – “Under the Sea” Oceanography Camp - Maroon Weekly
,Department of Defense Awards Funds to Ten UC San Diego Researchers to Develop Instrumentation
,"Young, Bonamici Unveil Next Step to Remove, Prevent Marine Pollution"
,Under Secretary of Commerce for Oceans and Atmosphere and NOAA Administrator Jane Lubchenco Testifies on National Oceanic and Atmospheric Administration's Fy 2012 Budget Request
,How scientists are using virtual reality to show people effects of global warming
,sea star wasting syndrome
,House Infrastructure Subcommittee Issues Testimony From Chesapeake Bay Foundation
,REP. BRIAN BAIRD HOLDS A HEARING ON CLIMATE CHANGE
,Briefs
,UC Santa Barbara Marine Scientists Receive Multimillion-Dollar NSF Grants to Fund Long-Term Research
,song of the sea
,Boulder coalition sees role in saving seas for those at a mile high
,"Senate Commerce Committee Chair Cantwell: NOAA Announces $3.31 Billion Investment in Coastal Resilience, Salmon Recovery, and Infrastructure - Largest in Agency's History"
,House Science Subcommittee Issues Testimony From NOAA Director Thur
,Environmental education; Grant to fund new class at Sandoway Discovery Center; Delray Beach
,UVic ocean science gets $46M injection
,Earth Day Awards honor local efforts
,Mike Spranger: It's an ocean world
,FACT SHEET: Leading at Home and Internationally to Protect Our Ocean and Coasts
,"Bonamici, Young Unveil Next Step to Remove, Prevent Marine Pollution"
,UM Grant Will Place Sensors Beneath Arctic Ice
,House Rules Committee Issues Report on Coastal Zone Management Act (Part 2 of 3)
,Studies testing kelp as local fix for acidifying seawater
,"Oakland's Joaquin Miller, Hillcrest students honored as ""Ocean Guardians"""
,"Governor Lincoln D. Chafee Announces Six Teams to Share $810,000 in 2013 Collaborative Research Grant Awards"
,Northern Chumash Bear Clan Issues Public Comment on OSHA Proposed Rule
,URI Researchers are Partners on All Six Grants Awarded to Foster Collaboration in Rhode Island
,House Members Offer Economic Incentive for Ocean Research
,Salmon May Lose the Ability to Smell Danger as Carbon Emissions Rise
,"Join lobstermen, others concerned with environment at climate march"
,Ocean generates 10.7 percent of state GDP
,House Natural Resources Committee Issues Testimony From U.S. Virgin Islands Department of Planning & Natural Resources
,Coral Reef Resilience: University of Pennsylvania
,UNH Ocean Scientists Get Funds for Continued Coastal Water Monitoring
,OSU lands $122M grant for Newport research ship
,Young Floridians are riding the wave of ocean restoration | Commentary
,Hawaii company proposes deep-sea limu farm for food and fuel
,"Readers write: Letters to the editor, January 11, 2017"
,"With NSF Grant, UCLA Scientists to Predict Climate Change in Key Coastal Regions Around the World"
,IIT Inks Pact With Centre to Set up Ocean Observatory
,Can adding minerals to ocean curb climate change? Elon Musk backs UM grad's research
,Bahamas Builds Resilience Against a Surging Sea
,Ocean Institute readies for remodel
,Opening the Next Steps Panel of Our Ocean Conference
,Riding the research wave Oregon State hopes Newport building and Marine Studies Initiative will be a boon for science and the coast
,Rep. Pingree's Bill to Preserve Working Waterfronts Gets First Hearing in 116th Congress
,"Kerry, Leonardo Dicaprio On Second Day of Our Ocean Conference [document]"
,"SECRETARY OF STATE JOHN KERRY DELIVERS OPENING REMARKS ON THE SECOND DAY OF THE ""OUR OCEAN"" CONFERENCE"
,Lobster babies can teach lessons on climate change
,Rep. Posey Recognizes National Estuary Week
,Second Day of Our Ocean Conference
,Geo-pipe dreams; Six radical ways to save Planet Earth--or not
,United States: USAID Announces New Programs to Protect our Ocean
,Pumping iron into ocean gets chilly reception
,Alameda: Lincoln students honored as 'Ocean Guardians'
,"SEN. JOHN D. ROCKEFELLER IV HOLDS A HEARING ON COAST GUARD, COMMERCE, NTSB, MARINE MAMMAL AND AMTRAK NOMINATIONS"
,An ocean of research Hatfield Marine Science Center celebrates 50 years in Newport
,House Natural Resources Subcommittee Issues Testimony From NOAA Administrator Spinrad
,Tribes commit to uphold Paris climate agreement
,"Reef research center to help unlock, preserve sea treasures"
,"Monterey Bay Aquarium Research Institute Receives $75,000 Federal Grant"
,Virtually convinced on global warming
,Young Floridians are riding the wave of ocean restoration guest columnist
,NOAA: 6 Cool Northeast Aquaculture Science Collaborations to Follow
,A CSUN professor is on the case of an ‘ecological whodunit’ after hurricanes ravage Caribbean
,Maine finally addressing climate change in the gulf
,"House Appropriations Issues Report on Commerce, Justice, Science Appropriations Bill - Title I - Office of Oceanic & Atmospheric Research (Part 4 of 12)"
,House Natural Resources Committee Issues Report on Keep America's Waterfronts Working Act
,"Black hole, Antarctic sea temps no problem for UA's high-performance computers"
,$7 million grant to help Mote start holistic phase of reef restoration
,When learning is fun
,Maine finally addressing climate change in the gulf
,How California is saving its sea life
,"World: Oceans, Fisheries and Coastal Economies"
,"SECRETARY OF STATE JOHN KERRY DELIVERS REMARKS AT THE NEXT STEPS PANEL OF THE ""OUR OCEAN"" CONFERENCE"
,House Space Subcommittee Issues Testimony From Mote Marine Laboratory President Crosby
,18 Teams Vie for $2 Million Wendy Schmidt Ocean Health XPRIZE
,EarthX to Celebrate World Oceans Week in Partnership with the National Geographic Society
,Immersed in a competition
,Chair Grijalva Introduces Ocean-Based Climate Solutions Act
,"Former Interior Secretary Sally Jewell Brings Leadership to UW Community, New EarthLab Initiative"
,Must we risk destroying the ocean to save the planet?
,U.S. Secretary of State Kerry Opening Next Steps Panel At Ocean Conference [document]
,"Reps. Bonamici, Posey Lead Bipartisan Call for $10B Investment in Coastal Restoration Jobs"
,"Black hole, Antarctic sea temps no problem for UA computers"
,"NSF Awards Rapid Response Grants to Study Current El Nino, One of the Strongest on Record"
,NOAA Administrator Jane Lubchenco stepping down in February (Posted 2012-12-12 17:15:58)
,Deep Seabed Mining Coalition Sends Letter to President Biden Urging a Moratorium on Dangerous Mining
,"Down East Maine producer of Kelp Krunch, Dulse seaweed products plans $1.5M expansion"
,UNCA alum among graduation speakers
,NOAA Administrator Jane Lubchenco stepping down in February (Posted 2012-12-13 19:27:24)
,VIMS scientists track climate toll on lobster
,"Our Ocean Town Hall Event in Valparaiso, Chile"
,"Al Jazeera English - Al Jazeera Media Network: After days at sea with the Cook Islands PM, here’s what I learned"
,King: Data key to protecting lobster fishery
,The Johnny Appleseed of Sugar Kelp
,Maritime climate actions for Pakistan's 2030 Plan
,Senate Votes to Establish Oceans Endowment
,King seeks data on lobsters at conference
,Obama Administration Releases Action Plan to Address Ocean Challenges
,Obama Protects an Area of Canyons and Peaks in the Warming Atlantic
,A Lifesaving Transplant for Coral Reefs
,"Economy top concern at forum Fishermen's event to tackle rules, ocean energy"
,Rep. Pingree Calls American Jobs Plan Once-in-a-Generation Opportunity to Modernize Nation's Infrastructure
,‘It’s happening now’: how rising sea levels are causing a US migration crisis
,USAID Announces New Programs to Protect Our Ocean
,"India, France adopt roadmap for partnership in Blue Economy and Ocean Governance"
,State's climate change efforts fall short
,What Can Fossil Shellfish Tell Us About Our Environmental Future? Plenty.
,Maritime climate actions for Pakistan's 2030 plan |
,Coral Reefs to Dissolve in an Acid Ocean by the End of the Century
,"Call for Action to Address Key Ocean Challenges Provides Robust, Forward-Looking Framework for Action"
,Findings Portend Benefits in Restoration and Aquaculture
,United States: Second Day of Our Ocean Conference
,Channel Islands National Marine Sanctuary Advisory Council Issues Public Comment on NOAA Notice
,Controlling algae
,Sen. King tells researchers that data is the key to protecting lobster industry
,Sen. Blumenthal Demands Measures to Ensure Connecticut Fisherman Get a Fair Shake
,United States: U.S. Engagement in the Pacific
,Young Floridians are riding the wave of ocean restoration Viewpoint
,"Promising to ‘Make Our Planet Great Again,’ Macron lures 13 U.S. climate scientists to France"
,The acid tests Bigelow Laboratory's 'time machine' aims to find out - with an eye to helping improve - how key species will fare in a future that includes far more acidic and far warmer Maine waters.
,House Natural Resources Subcommittee Issues Testimony From EPA Ex-Administrator Browner
,King seeks data on lobsters at Portland conference
,"The effects on species that thrive in cold waters provide glimpses of the damage that rising ocean temperatures can do, but the federal and state response remains weak."
,House Natural Resources Committee Issues Report on Coastal State Climate Preparedness Act
,European Union: EU leads the way with ambitious action for cleaner and safer seas
,House Transportation & Infrastructure Subcommittee Issues Testimony From NOAA
,Dispatches
,House Select Committee on Climate Crisis Issues Testimony From University Florida Professor
,2018 Presidential Award Winners Named
,Lobsters in a Virginia lab can tell us about the threats of climate change
,Something is killing gray whales. Is it a sign of oceans in peril?
,New Report Shows Ocean Resources and Coastal Communities Are Vital to Overall U.S. Economy yet Climate Change Poses Major Threat
,Halibut prices through the roof as quota cuts reduce supply
,How investors are coming up with the green to save the ocean blue
,Battery-Metal Rush Pits Miners Against Marine Biologists
,Acidifying Oceans Could Spell Trouble for Squid
,"Environment Grants of $117,000 Aid Climate Change Research"
,How to Save the World's Coral Reefs? Scientists Look to the Red Sea for Answers
,CSUN Marine Biologists Receive Nearly $1.9 Million for Coral Reef Research
,Letters to the editor (Aug. 13)
,U.S. HOUSE: DISTRICT 16
,University of Maine Research Institutions Receive More Than $660k to Study the American Lobster
,International effort will study salmon populations deep in the Gulf of Alaska
,Citizens Campaign for the Environment Issues Public Comment on Bureau of Ocean Energy Management Notice
,House Natural Resources Subcommittee Issues Testimony From Stockton University
,Scripps Oceanography to build fleet of data-collecting robotic ocean floats
,Ocean Conservancy Issues Statement on $700 Million Cut to NOAA Budget Proposed by House
,New oceanography major now open to undergraduates
,Picks and pans for 2021 in Alaska’s seafood industry
,University of Victoria: Expert Q&A - Sea Otters Boost Genetic Diversity of Eelgrass Meadows
,"Sen. Sullivan Votes for COVID-19 Relief, Government Funding Bill"
,"Run-Off, Emissions Deliver Double Whammy To Coastal Marine Creatures, UGA Study Finds"
,POINT OF VIEW: Trump administration plans endanger Florida waters
,your say
,Lively debate expected in Capitol
,Maine islands face a rising risk from climate change
,Bering Sea Fishermen's Association Issues Public Comment to Commerce Dept.
,"Senate Appropriations Committee Issues Report on 2020 Commerce, Justice, Science Appropriations Bill (Part 3 of 10)"
,What whales are telling us about Earth; High-resolution photos and skin samples studied by scientists show sea mammals suffering sunburn while at the surface
,Teresa Heinz and the Heinz Family Foundation Celebrate Recipients of $1 Million Heinz Awards
,College of New Jersey: Two School of Science Professors Receive NSF Grants to Study Marine Organisms and Climate Change
,UMaine offshore wind project gets big boost
,'Blue Economy' takes next steps
,The Student Cha
,Maine environmental advocates warn of 'crippling' cuts in Trump budget
,Scientists find marine animals adapt to cope with man-made sea changes
,Mark Zuckerberg donates $50M to University of Hawaii to study impact of climate change on ocean
,Deadly virus attacks starfish
,Deeper EPA cuts pose a particular menace to Maine
,A TEST OF OCEAN'S HEALTH: BODEGA MARINE LAB SCIENTISTS STUDY EFFECTS OF INCREASING ACIDITY ON SHELLFISH
,Hispanic Access Foundation Issues Public Comment on NOAA Notice
,Wasting syndrome wiping out North Kitsap sea stars
,"Stanford University, Monterey Bay Aquarium And MBARI Launch New Center To Tackle Global Threats To The Oceans"
,Ocean's Heat Cycle Shows That Atmospheric Carbon May Be Headed Elsewhere
,West coast scientists discuss sea star dissolving distresses
,RISE EVIDENT IF YOU KNOW WHERE TO LOOK
,"THE `CANARIES' UNDER THE SOUND ; MICROSCOPIC SHELLS SHED BY SINGLE-CELLED CREATURES LIE DEEP WITHIN THE ESTUARY'S SEDIMENT, AND RESEARCHERS BELIEVE THEY HAVE A LOT TO TELL US ABOUT CLIMATE CHANGE."
,Scripps Oceanography to build fleet of data-collecting robotic ocean floats
,Written Statement of Administrator Kathryn Sullivan at the FY 2016 Budget Request Hearing
,"Stop oil and gas exploration madness, SA scientists urge government"
,"Big UA computers tackle black hole, ocean temps no problem for UA's high-performance computers"
,Maine islands at high risk
,House Infrastructure Subcommittee Issues Testimony From Office of Governor of Virginia
,IMLS Announces Grants of $25 Million for U.S. Museums
,"Candidates to debate, oil, gas and mining issues at ComFish"
,Scientists Available for Comment on Current Government Shutdown
,"N.J. ENVIRONMENTAL PROTECTION DEPT.: NEW JERSEY RECEIVES $995,000 FEDERAL GRANT FOR WILDFIRE MITIGATION EFFORTS IN AREA OF JOINT BASE MCGUIRE-DIX-LAKEHURST"
,"Reed, Whitehouse announce highlights for Rhode Island in federal budget"
,COP26 summit opens: Focus on how to hit 1.5°C target — and billions in funding
,"Without Safeguarding Oceans, Achieving the 2030 Sustainable Development Agenda will Be Impossible"
,Northern Arizona University: Institute for Tribal Environmental Professionals Earns $3.2 Million Grant to Help Tribes Prepare for Changing Climate
,Maine islands at high risk
,"Reps. Bonamici, Young Lead Bipartisan Call for $10B Coastal Community Investment in Build Back Better Plan"
,To the rescue
,The chemist who's still asking 'why'? Feature
,"Reef research center to help unlock, preserve sea treasures"
,Institute readies for remodel
,Summer of 2010 was hottest ever in Tri-Cities - so far
,"Massachusetts Department of Housing and Economic Development: Baker-Polito Administration Announces $450,000 in Grants to Bring the Internet of Things to State's Blue Economy"
,Testimony of Administrator Kathryn Sullivan at the NOAA FY 2016 Budget Hearing
,"Keynote Address by the NOAA Administrator at the International Coral Reef Symposium 2010, Cairns, Australia"
,"Written Testimony of Rear Admiral Gerd F. Glang, Director, Office Of Coast Survey, National Oceanic and Atmospheric Administration, U.S. Department of Commerce During A Legislative Hearing On Six Bills"
,Honolulu Sues Petroleum Companies For Climate Change Damages to City
,Newport man uses kelp to create wellness product while promoting human and ocean health
,Picks and pans for 2021 in Alaska's seafood industry
,"HOUSE APPROPRIATIONS COMMITTEE, COMMERCE, JUSTICE, SCIENCE, AND RELATED AGENCIES SUBCOMMITTEE HEARING ON F.Y. 2019 NOAA BUDGET"
,Are species endangered by movies?
,NOAA: Water Clarity Study Sheds Light on Bering Sea Change
,Teresa Heinz and the Heinz Family Foundation Announce Recipients of $1 Million Heinz Awards
,Indian AffairsAnnounces $6.5 Million for Tribal Climate Change Adaptation and Ocean and Coastal Management Planning Projects
,"Gullah/Geechee Nation, Gullah/Geechee Sea Island Coalition Issue Public Comment on FEMA Notice"
,Ocean and Climate Research Gets $9M Boost
,Axios: Nonprofit tackles carbon removal from oceans
,"House Appropriations Committee Issues Report on Commerce, Justice, Science, Related Agencies Appropriations Bill 2019 (Part 2 of 6)"
,"HOUSE APPROPRIATIONS COMMITTEE, COMMERCE, JUSTICE, SCIENCE, AND RELATED AGENCIES SUBCOMMITTEE HEARING ON F.Y. 2019 NOAA BUDGET"
,"Senate Appropriations Committee Issues Report on Departments of Commerce, Justice, Science, Related Agencies Appropriations Bill, 2018 (Part 2 of 7)"
,"Some Corals Adjusting to Rising Ocean Temperatures, Stanford Researchers Say"
,Future of Coral Reefs in the Time of Climate Change [opinion]
,UNCW Group Receives NSF Grant for Coral Reef Research
,National Oceanic and Atmospheric Administration Administrator Testifies on the National Oceanic and Atmospheric Administration's FY 2012 Budget Request
,REP. JIM BRIDENSTINE HOLDS A HEARING ON THE BUDGET PROPOSAL FOR THE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION FOR F.Y. 2017
,Doing the math on post-November Senate KXL support — Louisiana Senate candidates talk climate change — States hit wall of confusion over EPA rules — Greens press Google for supporting Lee Terry
,REP. DAVID SCHWEIKERT HOLDS A HEARING ON NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION BUDGET FOR F.Y. 2015
,"Candidates to debate, oil, gas and mining issues at ComFish"
,House Space Subcommittee Issues Testimony From University of California Director Leinen
,Fisheries picks and pans for 2019
,'Year of the Salmon' to feature major Gulf habitat study
,Rep. Brian Baird wraps up sixth and final term
,How investors are providing the green to save the ocean blue
,Climate change will affect fish stocks around the African continent
,Life aquatic with OSU needs new research ship
,Our sick ocean is a game-changer
,REP. JOHN FLEMING AND REP. TOM MCCLINTOCK HOLD A JOINT HEARING ON THE U.S. FISH AND WILDLIFE SERVICE AND THE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION SPENDING PRIORITIES
,Brooklyn Artist Addresses the Disappearance of Coral Reefs
,Climate change affects fish and reefs
,Stony Brook University: Doctoral Student Working to Restore Shellfish Population
,HURRICANES OF DATA
,Reliance on fossil fuels doesn't oblige investing in them
,Climate claims; Global warming singled out long before latest IPCC report
,Scientists First to Develop Rapid Cell Division in Marine Sponges: Florida Atlantic University
,Salesforce.Com Inc to Participate In A Panel Discussion 'Making Digital Globalization Inclusive' - Final
,House Natural Resources Committee Issues Testimony From U.S. Fish & Wildlife Service Deputy Director for Policy Guertin
,"H APPROPS HEARING ON AMERICAN INDIAN AND ALASKA NATIVE FUNDING, AFTERNOON SESSION"
,Alaskan seafood has opening in home meal replacement kits
,"MARINE SCIENTISTS START SCHOOL YEAR WITH NEW FACILITY\BETTER LABS, DOCK WILL AID STUDENTS' TRIPS TO SEA, NEARBY RIVERS"
,"Climate Vulnerable Nations Go Carbon Neutral, Plead for Help"
,REP. RALPH M. HALL HOLDS A HEARING ON THE NOAA AND EPA BUDGETS
,Geology Highlights: New Science Posted Online 8 March 2011
,Cooperative Agreements Make $2 Million Available for American Lobster Research
,The world in your hands
,REP. DOC HASTINGS HOLDS A HEARING ON OCEAN COASTAL AND INLAND ACTIVITIES RESTRICTIONS
,Iron-seeding to grow plankton could be tonic or disaster for ceans: ; Company hopes to sell carbon credits to do it
,Summer Interns Focus on Seafood Science in Kodiak
,"H APPROPS HEARING ON AMERICAN INDIAN AND ALASKA NATIVE FUNDING, AFTERNOON SESSION"
,"King, Pingree Announce More Than $5 Million to Protect Maine Coastal Communities"
,Jersey Shore residents want more time to review wind project
,Issuance of an Incidental Harassment Authorization Notice Posted in Federal Register
,Salesforce.com Inc Chairman and CEO Marc Benioff to Participate in WEF 2018 Panel Discussion 'Future Shocks: Rogue Technology.' - Final
,Fall 2014 Kudos
,National Oceanic and Atmospheric Administration Issues Testimony on FY17 Budget Request
,OSU debuts documentary on coral reef crisis
,At the edge of a warming world
,Trump administration's plans would harm ; South Florida waters
,"PBS NewsHour For March 12, 2013"
,University of Southampton: EUR 3.5 Million to Predict the Future for Coral Reefs
,Congressional Research Service: 'Science & Technology Issues for 118th Congress' (Part 5 of 5)
,"Tongan democracy needs more time to flourish, King tells parliament"
,"King, Pingree Announce More Than $5 Million to Protect Maine Coastal Communities"
,"Environment America Research & Policy Center, 2 Collaborators Issue Public Comment to Interior Dept."
,Capturing the ripple effect on ecosystems
,"INTERVIEW: 'Bright spots' can help islands navigate towards sustainable future, says UN biodiversity chief"
,UW-Oshkosh biotechnologist to be recognized as Regent Scholar
,Taking Marine Mammals Incidental to Rocky Intertidal Monitoring Surveys Along the Oregon and California Coasts Notice Posted in Federal Register
,Dispatches
,"THE STATE; Sea snail won't get protection; Reacting to petitions, federal agency says pinto abalone is not at risk of extinction."
,Campus round-up
,Sen. Murkowski: Funding Package Passes Senate
,"House Budget Committee Issues Report on Build Back Better Act - Title IX - Science, Space & Technology Committee (Part 36 of 64)"
,Rabbits of the sea may save reefs
,UTA Scientists Examine Global Warming Events from Millions of Years Ago to Gain Insight into Present-Day Climate Change
,'A bittersweet moment': Animal rehab center releases final five seals before closing down
,Jersey Shore residents demand more time to review offshore wind project
,"Triumph in the tropics --- AFTER 40 YEARS, JAMES COOK UNIVERSITY IS PUNCHING ABOVE ITS WEIGHT"
,Oregon State University to Lead Building of Second Ship for National Research Fleet
,House Select Committee on Climate Crisis Issues Testimony From Tribes & Climate Change Program Co-Manager Cooley
,"Gear, Not Geoducks, Impacts Ecosystem If Farming Increases"
,"Sen. Cantwell, Democrats Deliver Wins to Boost Sustainable Aviation Fuel, Support Coastal, Climate Resiliency, Improve Weather Forecasting in Inflation Reduction Act"
,At the edge of a warming world
,Space-age lab expands underwater research
,Economist: Many factors involved in retail salmon prices
,Haunted waters: Hunting ghost traps in Maine
,Climate change: What can Mississippi expect?
,Hopes rise of breakthrough at crucial climate summit
,House Appropriations Subcommittee Issues Joint Testimony From NOAA
,Science the key to building new Tassie economy
,SEN. BILL NELSON HOLDS A HEARING ON SOUTH FLORIDA'S CHANGING COASTLINE
,SEN. MARK BEGICH HOLDS A HEARING ON COAST GUARD/NOAA BUDGETS
,House Appropriations Subcommittee Issues Testimony From Shoalwater Bay Indian Tribe Chairwoman Nelson
,University of Miami Officially Opens New Research Facility on Virginia Key Campus
,Senate Energy Committee Issues Report on Reinvesting in Shoreline Economies & Ecosystems Act
,Residents seek more time to review offshore wind project
,United States: US Proposal Would Create World's Largest Marine Sanctuary
,Tonga welcomes visitors to celebrate life of a King
,'A bittersweet moment': Animal rehab center releases final five seals before closing down
,NOAA Announces $4.9 Million for Collaborative Research Projects to Help Coastal Communities Manage Effects of Climate Change
,REP. JOHN FLEMING HOLDS A HEARING ON NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION BUDGET
,Elon Musk backs UM grad's climate research
,House Select Committee on Climate Crisis Issues Report Entitled 'Solving Climate Crisis 2022 - Key Accomplishments and Additional Opportunities-Majority Staff Report' (Part 11 of 13)
,Wonkbook: Congress just may avoid a government shutdown
,"PBS NewsHour For March 12, 2013"
,Sen. Cantwell: Inflation Reduction Act Delivers Wins for Washington State
,Takes of Marine Mammals Incidental to Specified Activities Notice Posted in Federal Register
,SEN. SHELDON WHITEHOUSE HOLDS A HEARING ON CLIMATE CHANGE
,Lawsuit Launched Over Trump's Failure to Protect Emperor Penguins
,Global warming study will focus on lobsters
,United States: Power Dynamics Innovations LLC to Supply Centerboard System for New Regional-Class Research Vessel
,"Northern, Southern Leaders Petition to Protect the Arctic from Climate Change"
,The new climate bill will
,"More extreme weather events likely in Miss., experts say"
