"Factiva- ""sea grant"" AND ""acidification""","ProQuest- ""sea grant"" AND ""acidification"""
"ENVIRONMENTAL PROTECTION AGENCY FORMER ADMINISTRATOR CAROL M. BROWNER, PREPARED TESTIMONY BEFORE THE HOUSE NATURAL RESOURCES SUBCOMMITTEEE O... AND WILDLIFE HEARING ON HEALTHY OCEANS AND HEALTHY ECONOMIES: THE STATE OF OUR OCEANS IN THE 21ST CENTURY...",NOAA Administrator Jane Lubchenco stepping down in February (Posted 2012-12-12 17:15:58)
"House Natural Resources Subcommittee on Water, Oceans and Wildlife Hearing; ""Healthy Oceans and Healthy Economies: The State of Our Oceans in the 21st Century.""; Testimony by Carol Browner, Former Administrator of the Environmental Protection Agency, Washi...","Down East Maine producer of Kelp Krunch, Dulse seaweed products plans $1.5M expansion"
"Chalcogens; Data from Stony Brook University Provide New Insights into Chalcogens (Individual and combined effects of low dissolved oxygen and low pH on survival of early stage larval blue crabs, Callinectes sapidus)","THE `CANARIES' UNDER THE SOUND ; MICROSCOPIC SHELLS SHED BY SINGLE-CELLED CREATURES LIE DEEP WITHIN THE ESTUARY'S SEDIMENT, AND RESEARCHERS BELIEVE THEY HAVE A LOT TO TELL US ABOUT CLIMATE CHANGE."
Biological Factors - Chlorophyll; Researchers at Texas A&M University Target Chlorophyll (Effect of hydrological variability on the...,Kodiak Summer Interns Benefit Seafood Industry
Coastal Research; Studies from University of South Carolina Describe New Findings in Coastal Research (Reconstructing Aragonite Saturation...,UNCA alum among graduation speakers
Ecology Research - Ecological Applications; New Findings in Ecological Applications Described from Department of Global Ecology ((Expecte... acidification buffering potential of a temperate seagrass meadow),NOAA Administrator Jane Lubchenco stepping down in February (Posted 2012-12-13 19:27:24)
Conservation Research - Conservation Physiology; New Conservation Physiology Findings from  University of California - Davis Discussedd (Ju... acidification  and hypoxia across multiple biological scales),"Candidates to debate, oil, gas and mining issues at ComFish"
University of Hawaii at Manoa; Nutrient pollution makes ocean acidification worse for coral reefs,Marine Science Symposium Offers Teaching Ideas
"Murkowski Supports a Safer and More Prosperous Alaska; Senate Appropriations Approves Commerce, Justice, Science Funding Bill; Sen. Lisa Murkowski (R-AK) News Release","Gear, Not Geoducks, Impacts Ecosystem If Farming Increases"
MIL-OSI USA: Murkowski Supports a Safer and More Prosperous,Foreign fishermen to 'talk shop' at forum
MIL-OSI USA: The Hill: We must act to protect the health and future of our oceans,Economist: Many factors involved in retail salmon prices
MIL-OSI USA: Murkowski Supports a Safer and More Prosperous Alaska,Walker orders mariculture task force
MIL-OSI USA: New Federal Money For Hawai‘i Ocean Management,We can help slow changes to climate
"New Federal Money For Hawai'i Ocean Management; Appropriations Committee Approves Funding To Help Preserve Papahanaumokuakea, Improve... And Protect Coral Reefs; Sen. Brian Schatz (D-HI) News Release",House Appropriations Subcommittee Issues Joint Testimony From NOAA
I'm an expat US scientist – and I'm returning to Trump's America to stand up for science,"Committee Approves FY2020 Commerce, Justice, Science Appropriations Bill"
MIL-OSI USA: Courtney Statement On The 2018 Omnibus Spending Measure,Lecture series focuses on ocean concerns
Co2 Emissions; Data on Co2 Emissions Reported by Researchers at University of North Carolina [Watershed-Scale Drivers of Air-Water CO2...,"CSU's COAST, Others to Convene at Global PRIMO Sessions to Address Toxins in Aquatic Life, May 15-18 in Long Beach"
ALASKA SEA GRANT .(Inside Alaska Business March 2018),"Economy top concern at forum Fishermen's event to tackle rules, ocean energy"
OSU boosting its Newport campus with marine studies center,"Where Trump would cut, Congress would restore"
BORDALLO ADDRESSES U.S. CORAL REEF TASK FORCE; Rep. Madeleine Bordallo (D-GU) News Release,EVENTS
MIL-OSI USA: Bordallo Addresses U.S. Coral Reef Task Force,Childrenâ€™s Museum of the Brazos Valley â€“ â€œUnder the Seaâ€ Oceanography Camp - Maroon Weekly
"HIRONO: TRUMP BUDGET BAD FOR HAWAII, REFLECTS MISPLACED PRIORITIES","Keynote Address by the NOAA Administrator at the International Coral Reef Symposium 2010, Cairns, Australia"
"Environmental Toxicology; New Findings in Environmental Toxicology Described from University of California [Effects of sediment resuspension... and release of metals (iron, manganese, zinc) in Pescadero estuary (CA, ...",'State of the Coast' Conference Set for Oct. 27 in Coos Bay
FIRST MEETING OF NEW COORDINATING COUNCIL ON OCEAN ACIDIFICATION  AND HYPOXIA IS JAN. 25 IN NEWPORT,H APPROPS HEARING ON THE DEPARTMENT OF COMMERCE F.Y. 2018 BUDGET
New oceanography major now open to undergraduates,Earth Day Awards honor local efforts
United States : Murkowski Introduces Bill to Address Ocean Acidification,"HOUSE APPROPRIATIONS COMMITTEE, COMMERCE, JUSTICE, SCIENCE, AND RELATED AGENCIES SUBCOMMITTEE HEARING ON F.Y. 2019 NOAA BUDGET"
Murkowski Introduces Bill to Address Ocean Acidification ; Sen. Lisa Murkowski (R-AK) News Release,Alaska may profit from popularity of home-meal kits
Murkowski Introduces Bill to Address Ocean Acidification,Trump's budget cuts may cripple programs
Drugs and Therapies - Selective Serotonin Reuptake Inhibitors; New Selective Serotonin Reuptake Inhibitors Findings Has Been Reported by Investigators at Por... and predation risk interact...,sea star wasting syndrome
State largely ignores role as seas grow more acidic,Picks and pans feature best and worst in 2017 fish news
"Where Trump would cut, Congress would restore",VEGGIES OF THE SEA
Science; Findings from California Polytechnic State University Update Knowledge of Science (Calcifying algae maintain settlement cues to... acidification ),Takes of Marine Mammals Incidental to Specified Activities Notice Posted in Federal Register
Alaska may profit from popularity of home-meal kits,Sen. Blumenthal Demands Measures to Ensure Connecticut Fisherman Get a Fair Shake
The Aua Transect,"HOUSE APPROPRIATIONS COMMITTEE, COMMERCE, JUSTICE, SCIENCE, AND RELATED AGENCIES SUBCOMMITTEE HEARING ON F.Y. 2019 NOAA BUDGET"
NOAA Picks Black Swift Technologies sUAS for Nighttime Fire Observation eXperiment (NightFOX),Senate panel considers Robinson nomination to NOAA
"United States : Murkowskis Appropriations Work Strengthens Alaskas Communities, Fisheries",House Science Subcommittee Issues Testimony From NOAA Director Thur
"Murkowski's Appropriations Work Strengthens Alaska's Communities, Fisheries; Commerce, Justice, Science Funding Bill Approved by Senate...",Maryland Commission on Climate Change Issues Report Entitled 'Recommendations for Reducing Greenhouse Gas Emissions and Preparing for and Adapting to the Impacts of Climate Change' (Part 1 of 3)
"Blumenthal Demands Measures to Ensure Connecticut Fisherman Get a Fair Shake; Blumenthal: ""I've been on the docks and in their towns, and we need better answers"" for Connecticut fishermen; Sen. Richard Blumenthal (D-CT) News Release",OSU Names Lubchenco Adviser for Marine Sciences
"Murkowski’s Appropriations Work Strengthens Alaska’s Communities, Fisheries",Univ. of Miami Student Bignami Among 5 Guy Harvey Scholarship Recipients
Blumenthal Demands Measures to Ensure Connecticut Fisherman Get a Fair Shake,Congress set to reject Trump's wide range of federal program cuts
BLUMENTHAL DEMANDS MEASURES TO ENSURE CONNECTICUT FISHERMEN GET A FAIR SHAKE,Mike Spranger: It's an ocean world
"Fishermen use technology to stay educated, updated","Candidates to debate, oil, gas and mining issues at ComFish"
"Hey drivers, follow laws, keep us all safe","Good for business and nature, kelp grows on Maine fishermen"
"ProfNet Experts Available on Paris Agreement, Hurricane Preparedness, More",Coast Guard begins Arctic research cruise
"Life Science Research - Microbiology; Studies from Oregon Health and Science University Describe New Findings in Microbiology (Development of an economical, autonomous pHstat system for culturing phytoplankton under st...",Senate Science Subcommittee Issues Testimony From Lake Superior National Estuarine Research Reserve
King: Data key to protecting lobster fishery,House Transportation & Infrastructure Subcommittee Issues Testimony From NOAA
Anchorage mayor vows to reduce greenhouse gas emissions after Trump’s Paris pullout,USM Hosting Panel on Federal Budget Cuts and Maine Fisheries
Anchorage mayor vows to reduce greenhouse gas emissions after Trump’s Paris pullout,"Good for business and nature, kelp grows on Maine fishermen"
H APPROPS HEARING ON THE DEPARTMENT OF COMMERCE F.Y. 2018 BUDGET - COMMITTEE HEARING,"Mainers have a strong voice - tell Collins why we need science funding Amid a budget battle, an oceanographer seeks help advocating for NOAA, the National Science Foundation and the U.S. Geological Survey."
"Join lobstermen, others concerned with environment at climate march","Written Statement of Kathryn Sullivan, Ph.D. Acting Under Secretary of Commerce for Oceans and Atmosphere and Acting NOAA Administrator on the National Oceanic and Atmospheric Administration's FY 2014 Budget Request"
Alaskans live on frontier of climate change,Weather records back Cicilline climate claim
Alaska Sea Grant hosts the Kodiak Area Marine Science Symposium; AP Planner; Future News Item; University of Alaska Fairbanks,Winlock High School Team Competes at Annual Orca Bowl
Alaska Daybook,H APPROPS HEARING ON THE DEPARTMENT OF COMMERCE F.Y. 2018 BUDGET
Deeper EPA cuts pose a particular menace to Maine,"REP. FRANK R. WOLF, R-VA., HOLDS A HEARING ON NOAA BUDGET"
Life Science Research; Researchers at Moss Landing Marine Laboratories Describe Findings in Life Science Research (Species-Specific...,Shellfish show promise
Marine ecosystems show resilience to climate disturbance,Acidifying Oceans Could Spell Trouble for Squid
CLIMATE.,Maine Conservationists Endorse Tom Allen for Senate
"Adopting Drafts on Managing World’s Oceans, General Assembly Declares 2 May World Tuna Day, Urges Accounting for Climate Risks to...","House Appropriations Committee Issues Report on Commerce, Justice, Science, Related Agencies Appropriations Bill 2019 (Part 6 of 6)"
Marine Mammal Protection Act; Stock Assessment Report for the Southern Sea Otter in California,"Strong fishing highlights year in review, picks and pans"
Scientists investigate climate change impact on fisheries,Scientists struggle to save seagrass from pollution
"MURPHY SECURES ROBUST FUNDING TO SUPPORT LONG ISLAND SOUND AQUACULTURE RESEARCH, CONNECTICUT SHELLFISH INDUSTRY & NOAA'S MILFORD LAB;...",Rep. Pingree's Bill to Preserve Working Waterfronts Gets First Hearing in 116th Congress
Anions; Reports Summarize Anions Findings from University of Washington (Interpretation and design of ocean acidification experiments in upwelling systems in the context of carbonate chemistry co-variation with temperature and oxygen),"Reps. Bonamici, Young Lead Bipartisan Call for $10B Coastal Community Investment in Build Back Better Plan"
"Philippe Cousteau, Jr.'s EarthEcho International Profiles Youth Leaders in Action with EarthEcho Expedition: Shell Shocked",Rep. Pingree Calls American Jobs Plan Once-in-a-Generation Opportunity to Modernize Nation's Infrastructure
Takes of Marine Mammals Incidental to Specified Activities; Taking Marine Mammals Incidental to Rocky Intertidal Monitoring Surveyss Alon... and California Coasts; Federal Register Extracts,Del. Bordallo Addresses U.S. Coral Reef Task Force
Takes of Marine Mammals Incidental to Specified Activities; Taking Marine Mammals Incidental to Rocky Intertidal Monitoring Surveyss Alon... and California Coasts,Isles warned of grim future for tourism
"Philippe Cousteau, Jr. To Lead EarthEcho Expedition in America's Pacific Northwest to Help Solve Ocean Acidification",Anchorage mayor vows to reduce greenhouse gas emissions after Trumpâ€™s Paris pullout
VEGGIES OF THE SEA ; Nutrient-packed New England seaweed could be the next big thing in local food,"ProfNet Experts Available on Paris Agreement, Hurricane Preparedness, More"
Sen. Whitehouse Introduces Bill Concerning National Oceans and Coastal Security Act,Under Secretary of Commerce for Oceans and Atmosphere and NOAA Administrator Jane Lubchenco Testifies on National Oceanic and Atmospheric Administration's Fy 2012 Budget Request
"BC-NJ--NJ Daybook,1st Ld-Writethru, NJ",Under Secretary of Commerce for Oceans and Atmosphere and NOAA Administrator Jane Lubchenco Testifies on the National Oceanic and Atmospheric Administration's FY 2012 Budget Request
"BC-NJ--NJ Daybook, NJ",Honolulu Sues Petroleum Companies For Climate Change Damages to City
Taking and Importing Marine Mammals; Taking Marine Mammals Incidental to Northeast Fisheries Science Center Fisheries Research,OPINION: Welch takes a look back at the past year of fishy news
SCRIPPS ALUMNA AMY BOWMAN HEADS TO WASHINGTON DISTRICT OF COLUMBIA FOR SEA GRANT KNAUSS FELLOWSHIP,Picks and pans for 2021 in Alaska's seafood industry
SCIENTISTS TO ANALYZE 'THE BLOB' AT SCRIPPS OCEANOGRAPHY WORKSHOP,Kelp farm permits still more popular than shellfish
"Maine Sea Grant receives $800,000 in federal funding",Isles warned of grim future for tourism
UNDERSTANDING ADAPTIVE CAPACITY,Annual picks and pans from the year that was in Alaska fisheries
Endangered and Threatened Wildlife and Plants; Notice of 12-Month Finding on Petitions To List the Pinto Abalone as Threatened or Endangered...,REP. JOHN FLEMING HOLDS A HEARING ON NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION BUDGET
Takes of Marine Mammals Incidental to Specified Activities; Taking Marine Mammals Incidental to Rocky Intertidal Monitoring Surveyss Alon... and California Coasts; Federal Register Extracts,Picks and pans for 2021 in Alaskaâ€™s seafood industry
Takes of Marine Mammals Incidental to Specified Activities; Taking Marine Mammals Incidental to Rocky Intertidal Monitoring Surveyss Alon... and California Coasts,"Alaska's 2007 fish retrospective: Same 'ole, same 'ole"
HIRONO ANNOUNCES MORE THAN $3.5 MILLION IN GRANTS TO SUPPORT RESEARCH AT UNIVERSITY OF HAWAII - U.S. Departments of Commerce and Education Support UH Research for Climate Change Resilience and to Further Hawaii's Asia-Pacific Engagement,Fishing's 'year in review' for 2007 ; SPOTLIGHT: RESOURCES
Takes of Marine Mammals Incidental to Specified Activities; Taking Marine Mammals Incidental to Rocky Intertidal Monitoring Surveyss Alon... and California Coasts - Federal Register Extracts,Scientists struggle to save seagrass from coastal pollution
Takes of Marine Mammals Incidental to Specified Activities; Taking Marine Mammals Incidental to Rocky Intertidal Monitoring Surveyss Alon... and California Coasts,Science and Resilience Institute at Jamaica Bay Awarded $3.6 Million to Support Research on Resilience in Urban Coastal Ecosystems
NEXT GENERATION OF OCEAN SCIENCE EXPLORERS FOSTERED BY SCRIPPS/OCEAN DISCOVERY PROGRAM,House Natural Resources Subcommittee Issues Testimony From EPA Ex-Administrator Browner
LEADING SCIENTISTS PRESENT RESEARCH TO OCEAN ACIDIFICATION COMMISSION,EPA cuts could have major impact on Maine cleanup efforts
West coast scientists discuss sea star dissolving distresses,National Oceanic and Atmospheric Administration Administrator Testifies on the National Oceanic and Atmospheric Administration's FY 2012 Budget Request
Wasting syndrome wiping out North Kitsap sea stars,Snapshot of Alaska seafood industry in '11
Kake pins hopes on oyster farming,Rep. Courtney Issues Statement on Consolidated Appropriations Act
Takes of Marine Mammals Incidental to Specified Activities; Taking Marine Mammals Incidental to Rocky Intertidal Monitoring Surveyss Alon... and California Coasts - Federal Register Extracts,Under Secretary of Commerce for Oceans and Atmosphere Testifies on the National Oceanic and Atmospheric Administration's FY 2012 Budget Request
Takes of Marine Mammals Incidental to Specified Activities; Taking Marine Mammals Incidental to Rocky Intertidal Monitoring Surveyss Alon... and California Coasts,UF Institute of Food and Agricultural Sciences extensions work to mitigate climate change
Takes of Marine Mammals Incidental to Specified Activities; Taking Marine Mammals Incidental to Rocky Intertidal Monitoring Surveyss Alon... and California Coasts,Fisheries picks and pans for 2019
Takes of Marine Mammals Incidental to Specified Activities; Taking Marine Mammals Incidental to Rocky Intertidal Monitoring Surveyss Alon... and California Coasts - Federal Register Extracts,UF Institute of Food and Agricultural Sciences extensions work to mitigate climate change
Takes of Marine Mammals Incidental to Specified Activities; Taking Marine Mammals Incidental to Rocky Intertidal Monitoring Surveyss Alon... and California Coasts - Federal Register Extracts,Alaskans live on frontier of climate change
Takes of Marine Mammals Incidental to Specified Activities; Taking Marine Mammals Incidental to Rocky Intertidal Monitoring Surveyss Alon... and California Coasts,"House Appropriations Committee Issues Report on Commerce, Justice, Science, Related Agencies Appropriations Bill, 2018 (Part 7 of 7)"
What’s killing seagrass?,Deeper EPA cuts pose a particular menace to Maine
"Senate Commerce, Science and Transportation Subcommittee on Oceans, Atmosphere, Fisheries, and Coast Guard Hearing - The proposedd budget request for FY2014 for the Coast Guard and the National Oceanic and Atmospheric Administration (NOAA).",Picks and pans for Alaskaâ€™s seafood industry in 2019
Earth Day Awards honor local efforts,EPA cuts seen as peril to Maine
"Water Quality Standards for the State of Florida's Estuaries, Coastal Waters, and South Florida Inland Flowing Waters - Part 1 of 3",Wasting syndrome wiping out North Kitsap sea stars
"NOAA Administrator Jane Lubchenco stepping down in February; NOAA’s leader, Jane Lubchenco, announced this morning she is leaving the agency...","Reps. Bonamici, Posey Lead Bipartisan Call for $10B Investment in Coastal Restoration Jobs"
Takes of Marine Mammals Incidental to Specified Activities; Taking Marine Mammals Incidental to Rocky Intertidal Monitoring Surveyss alon... and California Coasts - Federal Register Extracts,Annual Picks and Pans closes out 27th year of Fish Factor
Takes of Marine Mammals Incidental to Specified Activities; Taking Marine Mammals Incidental to Rocky Intertidal Monitoring Surveyss alon... and California Coasts,SEN. DANIEL K. AKAKA HOLDS A HEARING ON TRIBAL IMPACTS OF ENVIRONMENTAL CHANGES
Takes of Marine Mammals Incidental to Specified Activities; Taking Marine Mammals Incidental to Rocky Intertidal Monitoring Surveyss Alon... and California Coasts - Federal Register Extracts,RISE EVIDENT IF YOU KNOW WHERE TO LOOK
Takes of Marine Mammals Incidental to Specified Activities; Taking Marine Mammals Incidental to Rocky Intertidal Monitoring Surveyss Alon... and California Coasts,Something is killing gray whales. Is it a sign of oceans in peril?
Marine Mammal Stock Assessment Reports,Fish picks and pans for 2020
University of Miami Rosenstiel School of Marine & Atmospheric Science; University of Miami student Bignami among 5 Guy Harvey Scholarship...,"Applications for aquatic farming in Alaska drop due to pandemic, and kelp is favored over shellfish"
Endangered and Threatened Wildlife and Plants: Final Rulemaking To Designate Critical Habitat for Black Abalone - Part 1 of 2,"Fishermen use technology to stay educated, updated"
Oregon Sea Grant Co-Sponsors 'Next Wave' Heceta Head Coastal Conference,"ProfNet Experts Available on Paris Agreement, Hurricane Preparedness, More"
"House Science, Space, and Technology Committee Hearing - ""Examining NOAA's (National Oceanic and Atmospheric Administration) Climate Service Proposal.""",
"CSU's COAST, Others to Convene at Global PRIMO Sessions to Address Toxins in Aquatic Life, May 15-18 in Long Beach",
Under Secretary of Commerce for Oceans and Atmosphere and NOAA Administrator Jane Lubchenco Testifies on the National Oceanic and Atmospheric Administration's FY 2012 Budget Request,
Under Secretary of Commerce for Oceans and Atmosphere Testifies on the National Oceanic and Atmospheric Administration's FY 2012 Budget Request,
Under Secretary of Commerce for Oceans and Atmosphere and NOAA Administrator Jane Lubchenco Testifies on National Oceanic and Atmospheric Administration's Fy 2012 Budget Request,
"House Appropriations Subcommittee on Commerce, Justice, Science, and Related Agencies Hearing - FY2012 appropriations for agencies under its jurisdiction.",
National Oceanic and Atmospheric Administration Administrator Testifies on the National Oceanic and Atmospheric Administration's FY 2012 Budget Request,
"House Science, Space, and Technology Committee Hearing - ""An Overview of the FY2012 Research and Development Budget Proposals at the National Oceanic and Atmospheric Administration (NOAA) and the Environmental Protection Agency.""",
URI to Host Lecture Series on 'State of Our Oceans' Beginning Feb. 8,
UNIVERSITY OF RHODE ISLAND TO HOST LECTURE SERIES ON 'STATE OF OUR OCEANS' BEGINNING ON FEB. 8,
Scientific certainty thresholds in fisheries management: a response to a changing climate.,
"Senate Commerce, Science, and Transportation Committee Hearing - The Changing Arctic: Implications for Federal Resources and Local Communities",
Senate panel considers Robinson nomination to NOAA,
AQUATIC 'DEAD ZONES' CONTRIBUTING TO CLIMATE CHANGE,
"Economy top concern at forum: Fishermen's event to tackle rules, ocean energy",
"Economy top concern at forum Fishermen's event to tackle rules, ocean energy",
Foreign fishermen to 'talk shop' at forum,
Foreign fishermen to 'talk shop' at forum,
"FIVE NEW, SHORT ONLINE VIDEOS DISCUSS CLIMATE CHANGE AT OREGON COAST",
"Five New, Short Online Videos Discuss Climate Change at the Oregon Coast",
CONNECTICUT SEA GRANT ANNOUNCES 2010 GRANT RECIPIENTS,
Endangered and Threatened Wildlife and Plants; Designation of Critical Habitat for the Southwest Alaska Distinct Population Segment of the...,
"Senate Commerce, Science, and Transportation Subcommittee on Oceans, Atmosphere, Fisheries, and Coast Guard Hearing - The Blue Economy: The Role of the Oceans in our Nation's Economic Future",
"SUSTAINABLE FISHERIES PARTNERSHIP SEATTLE OFFICE DIRECTOR, OCEAN HEALTH, SUSTAINABLE FISHERIES PARTNERSHIP BRAD WARREN PREPARED TESTIMONY... AND TRANSPORTATION SUBCOMMITTEE ON OCEANS, ATMOSPHERE, FISHERIES, AND COAST GUARD ...",
"House Appropriations Subcommittee on Commerce, Justice, Science, and Related Agencies Hearing - Fiscal Year (FY) 2010 Budget",
Sen. Snowe Introduces Coastal and Ocean Observation System Act,
Channel Islands National Marine Sanctuary Regulations - Part 2 of 2,
OPINION: Welch takes a look back at the past year of fishy news,
RECORD NUMBER OF TEAMS SET TO COMPETE IN STATE OCEAN SCIENCES BOWL,
SCRIPPS OCEANOGRAPHER TO EXAMINE HUMAN IMPACTS ON OCEANS IN UNIVERSITY OF RHODE ISLAND HONORS COLLOQUIUM LECTURE ON NOV. 18,
Maine Conservationists Endorse Tom Allen for Senate,
OCEANS/WILDLIFE; 'Tomnibus' hits pothole in Senate,
"RESOURCES; Senate vote on oceans, Internet omnibus on tap after Winfrey pleas",
Advancing America's Priorities Act Stalls In Senate,
"RESOURCES; Senate rejects massive oceans, wildlife, research omnibus",
Simon Study Abroad Act Included in Advancing America's Priorities Act,
"RESOURCES; Oceans, wildlife bills lumped in massive Senate measure",
The Oceanic Crisis: Capitalism and the Degradation of Marine Ecosystems,
"OCEANS; Panel clears climate research bills, after GOP raises drilling amendments",
the Reuters Daybook,
"COMMITTEE PASSES LEGISLATION TO REAUTHORIZE SEA GRANT PROGRAM AND RESEARCH, MONITOR OCEAN ACIDIFICATION",
The Washington Daybook - House Committees,
REPUBLICANS AMEND R&D BILL TO PROMOTE ENVIRONMENTALLY SOUND OFFSHORE ENERGY DEVELOPMENT,
Financial Daybook,
the Reuters Daybook,
The Reuters Congressional Daybook,
Financial Daybook,
The Reuters Daybook,
OCEANS; Climate research bill heads to full committee,
The Washington Daybook - House Committees - Futures,
Congress Weekahead,
Reuters Week Ahead/Wednesday,
"HOUSE COMMITTEE ON SCIENCE AND TECHNOLOGY - WEEK OF JUNE 23, 2008",
"CLIMATE; Panel approves oceans research, hybrid truck bills",
"HOUSE COMMITTEE ON SCIENCE AND TECHNOLOGY ** WEEK OF JUNE 23, 2008",
The Washington Daybook - House Committees,
The Reuters Daybook,
"SUBCOMMITTEE APPROVES LEGISLATION TO IMPROVE R&D FOR OCEAN ACIDIFICATION , SEA GRANT PROGRAM, HYBRID VEHICLES",
"Subcommittee Approves Legislation to Improve R&D for Ocean Acidification , the Sea Grant Program, and Hybrid Vehicles",
Financial Daybook,
The Reuters Daybook,
The Reuters Congressional Daybook,
Financial Daybook,
The Reuters Daybook,
OCEANS; Climate research program up for subcommittee vote,
"WEEK OF JUNE 16, 2008***UPDATE II***",
The Washington Daybook - House Committees - Futures,
Congress Weekahead,
Reuters Week Ahead/Wednesday,
OCEANS; Advocates eye 2009 for wave of oceans bills,
"Sci&Tech Cmte. Schedule, Week of 6.16.08",
"Candidates to debate, oil, gas and mining issues at ComFish",
ONGOING CHALLENGES TO NEW YORK STATE'S ECOSYSTEM,
Eutrophication: an ecological vision.,
Stoichiometry of fishes and their prey: Implications for nutrient recycling,
